dead_percentage,,-0.05 | 0.05,-0.1 | -0.05,-0.2 | -0.1,-0.3 | -0.2,-0.5 | -0.3,-0.75 | -0.5,-1 | -0.75,0.05 | 0.1,0.1 | 0.2,0.2 | 0.3,0.3 | 0.5,0.5 | 0.75,0.75 | 1
0.0,1,0,0,0,1,0,0,0,0,1,0,0,4,6
9.584052137243626e-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0001071696495552,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0002080299563137,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0003929006909632,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0004147902346527,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0004623208506703,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0004690745828586,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0004750593824228,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0004790036723614,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0004907574022574,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0005005005005005,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0005443658138268,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0005760368663594,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0006041453666697,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0006330831147689,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0006515906477577,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0006676458806249,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0006870786275604,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0007007708479327,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0007113499841922,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0007174744897959,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0007234768229032,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0007272354808972,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.000738757041278,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0007462195202247,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.000777610524138,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0007853060512194,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0008107951583946,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0008112467430829,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0008116883116883,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0008175545308872,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0008189169822909,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0008338979517381,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0008487523340689,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0008493205435651,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0008500991782374,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0008518354010623,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0008557751450806,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0008633778915716,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0008773448773448,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0008873114463176,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0008887140261754,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.000890501538441,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0008943620790478,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0008961242625644,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0008980691513246,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0009029526551824,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0009081261450573,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0009094877764842,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0009209218912827,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0009227929867733,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.000923136721407,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.000928505106778,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0009523234052838,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.000955787978918,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0009664503658704,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0009769441187964,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0009781357882623,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0009784735812133,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0009823182711198,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0.0009851269852711,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.000989709685159,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.000991956526427,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0009948178688958,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0009996251405722,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.000999720078378,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0010009055812401,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.00100392443187,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0010050206463775,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0010106382978723,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0010152284263959,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0010220031261272,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.001033661939386,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0010354082182613,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0010433386837881,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0010515247108307,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0010598478648761,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0010633077048912,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.001067657120359,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0010712028271838,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0010722263588979,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0010735373054213,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0010752688172043,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0010814013776757,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0010833639368343,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0010920453685382,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0011004640636192,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.001112676223056,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0011143754432175,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0011148893472322,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0011185682326621,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0011207621182404,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0011253571842214,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0011260844435206,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0011269755613262,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0011279112303377,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0011393847322445,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0011426122973648,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0011428136071006,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0011444507808044,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0011586809376146,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0011607286796711,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0011639063792014,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0011689526184538,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0011729843190517,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0011764705882352,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.001183158003035,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.001187762217667,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0011904335975488,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.001192794827765,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.001194009796377,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0011953647972098,0,1,0,0,0,0,0,0,0,0,0,0,0,0
